Class names: positive negative 

Feature names and their values:
     general => safe normal dangerous 
     situation => weak even strong
     injury => none low medium strong 
     attackGeneral => 0 1 2 3 


Training Data:

sample          class          general         situation    injury    attackGeneral  
================================================================================================
sample_0       positive       safe       strong       none       0       
sample_1       positive       safe       strong       none       0       
sample_2       positive       safe       strong       none       0       
sample_3       positive       safe       strong       none       0       
sample_4       positive       safe       strong       none       0       
sample_5       positive       safe       strong       none       0       
sample_6       positive       safe       strong       none       0       
sample_7       positive       safe       strong       none       0       
sample_8       positive       safe       strong       none       0       
sample_9       positive       normal       strong       none       0       
sample_10       positive       safe       strong       none       0       
sample_11       positive       safe       strong       none       0       
sample_12       positive       safe       strong       none       0       
sample_13       positive       safe       strong       none       0       
sample_14       positive       normal       strong       none       0       
sample_15       positive       normal       strong       none       0       
sample_16       positive       safe       strong       none       0       
sample_17       positive       normal       strong       none       0       
sample_18       positive       safe       strong       none       0       
sample_19       positive       safe       strong       none       0       
sample_20       positive       safe       strong       none       0       
sample_21       positive       normal       strong       none       0       
sample_22       positive       safe       strong       none       0       
sample_23       positive       normal       strong       none       0       
sample_24       positive       safe       strong       none       0       
sample_25       positive       safe       strong       none       0       
sample_26       positive       safe       strong       none       0       
sample_27       positive       safe       strong       none       0       
sample_28       positive       safe       strong       none       0       
sample_29       positive       safe       strong       none       0       
sample_30       positive       safe       strong       none       0       
sample_31       positive       safe       strong       none       0       
sample_32       positive       safe       strong       none       0       
sample_33       positive       safe       strong       none       0       
sample_34       positive       safe       strong       none       0       
sample_35       positive       safe       strong       none       0       
sample_36       positive       normal       strong       none       0       
sample_37       positive       safe       strong       none       0       
sample_38       positive       safe       strong       none       0       
sample_39       positive       safe       strong       none       0       
sample_40       positive       normal       strong       none       0       
sample_41       positive       safe       strong       none       0       
sample_42       positive       safe       strong       none       0       
sample_43       positive       safe       strong       none       0       
sample_44       positive       safe       strong       none       0       
sample_45       positive       normal       strong       none       0       
sample_46       positive       safe       strong       none       0       
sample_47       positive       safe       strong       none       0       
sample_48       positive       safe       strong       none       0       
sample_49       positive       safe       strong       none       0       
sample_50       positive       normal       strong       none       0       
sample_51       positive       safe       strong       none       0       
sample_52       positive       normal       strong       none       0       
sample_53       negative       normal       even       none       0       
sample_54       positive       normal       strong       none       0       
sample_55       positive       normal       strong       none       0       
sample_56       positive       normal       strong       none       0       
sample_57       positive       normal       strong       none       0       
sample_58       positive       normal       strong       none       0       
sample_59       positive       normal       strong       none       0       
sample_60       positive       normal       strong       none       0       
sample_61       positive       normal       strong       none       0       
sample_62       positive       normal       strong       none       0       
sample_63       negative       normal       even       none       0       
sample_64       positive       normal       strong       none       0       
sample_65       positive       normal       strong       none       0       
sample_66       positive       normal       strong       none       0       
sample_67       positive       normal       strong       none       0       
sample_68       positive       normal       strong       none       0       
sample_69       positive       normal       strong       none       0       
sample_70       positive       normal       strong       none       0       
sample_71       positive       normal       strong       none       0       
sample_72       positive       normal       strong       none       0       
sample_73       positive       normal       strong       none       0       
sample_74       positive       normal       strong       none       0       
sample_75       positive       normal       strong       none       0       
sample_76       positive       normal       strong       none       0       
sample_77       positive       normal       strong       none       0       
sample_78       positive       normal       strong       none       0       
sample_79       positive       normal       strong       none       0       
sample_80       negative       normal       even       none       0       
sample_81       positive       normal       strong       none       0       
sample_82       positive       normal       strong       none       0       
sample_83       positive       normal       strong       none       0       
sample_84       positive       normal       strong       none       0       
sample_85       positive       normal       strong       none       0       
sample_86       positive       normal       strong       none       0       
sample_87       positive       normal       strong       none       0       
sample_88       positive       normal       strong       none       0       
sample_89       positive       normal       strong       none       0       
sample_90       negative       normal       even       none       0       
sample_91       positive       normal       strong       none       0       
sample_92       positive       normal       strong       none       0       
sample_93       positive       normal       strong       none       0       
